id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44389446,Very cute appartement in Geneva center,2618014,Emma,,Commune de Genève,46.19326,6.13735,Entire home/apt,200,2,0,,,1,358,0,
44413016,"Habitación para desconectar, muy tranquila",255175388,Mile,,Chêne-Bourg,46.19344,6.19864,Private room,59,3,3,2021-08-28,1.18,2,365,3,
44456321,Chambre Double Standard,357435896,M3 Hotel,,Commune de Genève,46.20196,6.15029,Private room,257,1,0,,,4,0,0,
44456815,Chambre Double Business,357435896,M3 Hotel,,Commune de Genève,46.20196,6.15213,Private room,279,1,0,,,4,0,0,
44457008,Chambre Double Executive,357435896,M3 Hotel,,Commune de Genève,46.20171,6.15178,Private room,301,1,0,,,4,0,0,
44457061,Suite Junior,357435896,M3 Hotel,,Commune de Genève,46.2028,6.15131,Private room,347,1,0,,,4,0,0,
44484251,City center quiet flat,1389209,Raphaela,,Commune de Genève,46.20964,6.13522,Entire home/apt,113,7,0,,,2,83,0,
44497668,City center quiet flat,1389209,Raphaela,,Commune de Genève,46.20977,6.13406,Entire home/apt,120,3,0,,,2,83,0,
44516938,瑞士日內瓦靚房出租,26198785,Lucia,,Commune de Genève,46.20921,6.12424,Entire home/apt,108,90,0,,,2,270,0,
44535295,healing place in beautiful nature of Switzerland,69623083,Jiin,,Dardagny,46.17829,5.99511,Entire home/apt,45,14,0,,,1,0,0,
44586691,"Appartement Plainpalais, Geneva center",360836971,Juan,,Commune de Genève,46.19966,6.13913,Entire home/apt,123,2,5,2020-10-14,0.34,1,0,0,
44587446,Gorgeous studio by the lake,3528377,Marc,,Commune de Genève,46.21283,6.15027,Entire home/apt,91,2,0,,,79,0,0,
44588582,Magnifique appartement au cœur de Genève,211953792,Libert,,Commune de Genève,46.20258,6.15502,Entire home/apt,160,1,0,,,1,96,0,
44592421,"Lovely, bright apt with private roof terrace",8584282,Stefan,,Commune de Genève,46.2086,6.1335,Entire home/apt,55,30,3,2021-01-06,0.21,1,0,1,
44628391,Studio à Carouge. Près du centre commercial,61115478,G,,Carouge,46.18433,6.14589,Entire home/apt,35,3,0,,,1,19,0,
44639058,Appartement avec terrasse à Carouge,22428718,Aude,,Carouge,46.18415,6.14515,Entire home/apt,70,7,1,2020-09-10,0.07,1,242,0,
44643285,"Cozy 1 bedroom appartment ,with big balcony",340364720,Banj,,Commune de Genève,46.19349,6.13742,Entire home/apt,90,1,2,2020-08-31,0.14,2,25,0,
44645763,"Cozy 1 bedroom,1 salon ,kitchen and big balcony.",340364720,Banj,,Commune de Genève,46.19405,6.13841,Entire home/apt,90,1,12,2020-10-12,0.82,2,56,3,
44657658,Appartenant écologique a 25 mn centre ville,2537474,,,Confignon,46.18465,6.08917,Entire home/apt,99,2,0,,,1,192,0,
44677829,Magnificent studio with cachet in “eaux-vives”,31723607,Marion,,Commune de Genève,46.20203,6.1659,Entire home/apt,100,7,0,,,1,0,0,
44726264,Spacious 1 bedroom apartment near United Nations,59359491,Niraj,,Grand-Saconnex,46.22618,6.12445,Entire home/apt,130,3,0,,,1,362,0,
44878456,"Private Room in cozy flat, 5mins walk from Lake",13071664,Taylan,,Commune de Genève,46.20242,6.16088,Private room,65,25,1,2020-11-21,0.09,1,0,1,
44924369,Fantastic appart in geneva center,362295394,Sébastien,,Commune de Genève,46.19856,6.13724,Entire home/apt,260,3,3,2021-08-19,1.20,2,149,3,
44943542,Chambre à carouge avec salle de bain privative,1903233,Hanae,,Carouge,46.18024,6.14468,Private room,69,1,0,,,1,113,0,
45071052,Dormir dans un voilier au centre de Genève!!,63137154,Sebastien,,Commune de Genève,46.20764,6.1587,Entire home/apt,100,1,0,,,1,0,0,
45141809,Beautiful studio in the heart of Old Town,312858685,Pishko,,Commune de Genève,46.20084,6.14908,Entire home/apt,80,14,1,2021-01-03,0.10,1,76,1,
45152091,Nicely Decorated 1BR Apartment Close to Cornavin,3528377,Marc,,Commune de Genève,46.21561,6.13337,Entire home/apt,77,2,6,2021-03-21,0.68,79,0,6,
45185062,Cosy flat with stunning views in Geneva,3900319,Audrey,,Commune de Genève,46.22365,6.12605,Entire home/apt,75,3,3,2021-06-06,0.22,1,0,2,
45230072,Jolie chambre privée avec balcon,120527114,Tatiana,,Commune de Genève,46.20389,6.17261,Private room,43,5,10,2021-09-06,0.82,2,286,9,
45251777,Apartment in Geneva 12th floor with 180 ° C view,97653311,Nicolas,,Thônex,46.1912,6.20238,Entire home/apt,200,2,2,2020-11-15,0.15,1,0,1,
